time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
2113536,715,2955,1.0,1,-1.0,-0.0034053181671576263,0.0003,0.0120578855,-1.55574631690979,0.015277059637010098,1.3201829672631245e-06,850,0.2,0.1694580078125,-1.3490498890789846,0.36872628331184387,-0.012449715286493301
2138112,713,2996,1.0,1,-1.0,-0.006395937793301224,0.0003,0.012884962,-1.3001039028167725,0.014759586481377483,1.871895440653156e-06,860,0.2,0.18467610677083332,-1.364808479634424,0.37092524766921997,-0.027320383116602898
2162688,715,3022,1.0,1,-1.0,-0.009811237938871878,0.0003,0.021613918,-1.108675479888916,0.01430497070774436,9.419624027035001e-07,870,0.2,0.22837320963541666,-1.395288810847948,0.3753863573074341,-0.03622981533408165
2187264,712,3068,1.0,1,-1.0,-0.015421192112989956,0.0003,0.018578554,-0.5724546909332275,0.013723275400698185,1.1726220537069028e-06,880,0.2,0.25283203125,-1.4349343239329755,0.3798237442970276,-0.004820064175873995
2211840,718,3080,1.0,1,-1.0,-0.010646884468587813,0.0003,0.019641588,-2.050477981567383,0.013208612063899637,4.173673277861611e-06,890,0.2,0.24659830729166668,-1.4617974828618268,0.3835994303226471,-0.00776428310200572
2236416,713,3132,1.0,1,-1.0,-0.02184360844476032,0.0003,0.026237778,-0.7908844947814941,0.012960000615566968,7.678559234216194e-07,900,0.2,0.28622233072916664,-1.482697140891105,0.3855516314506531,-0.02698604017496109
2260992,715,3161,1.0,1,-1.0,-0.03351625410383955,0.0003,0.09504809,-0.2993814945220947,0.012491172682493924,1.4562174529160015e-06,910,0.2,0.3481363932291667,-1.4830014578377206,0.3874056935310364,-0.041058652102947235
2285568,720,3170,1.0,1,-1.0,-0.02775786963466089,0.0003,0.029531829,-0.3217998743057251,0.012914678971283138,2.1290495366393934e-06,920,0.2,0.33083902994791664,-1.4672398020513355,0.38537654280662537,0.016768649220466614
2310144,717,3218,1.0,1,-1.0,-0.038163340761578485,0.0003,0.033301216,0.13036108016967773,0.012655497626401484,2.1020829914332925e-06,930,0.2,0.362646484375,-1.4755655102121332,0.38551175594329834,-0.050025034695863724
2334720,715,3264,1.0,1,-1.0,-0.04337728489457125,0.0003,0.06347431,0.20008409023284912,0.012888674736022948,1.4350099527142094e-06,940,0.2,0.40815836588541665,-1.4687382564879954,0.3825947344303131,-0.046999309211969376
