rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,rollout/ep_rew_wrapped_mean,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/approx_kl
15.59,-15.59,8355840,67,123264,1,0.06399843841791153,0.03709008155819902,0.997574181528762,0.2,3.9671296771615743,-663.3606007480621,0.0003,0.0028378675909228454,0.09264549612998962,0.5680582682291667,3390,0.12163933
15.61,-15.61,8380416,67,123912,1,0.08887648582458496,0.032768608142941955,0.9976560585200787,0.2,3.9589593255271516,-655.1249486422539,0.0003,0.002723481865132271,0.09271571040153503,0.59765625,3400,0.2403472
15.56,-15.56,8404992,67,124643,1,0.03889385983347893,0.0323021678422568,0.9978909946512431,0.2,3.962607335982223,-655.7265263777971,0.0003,0.0022946564151728427,0.0924854427576065,0.5698893229166667,3410,0.12483255
15.58,-15.58,8429568,67,125057,1,0.015837881714105606,0.033905642223423155,0.9983582856366411,0.2,3.953262535606821,-649.6390533161164,0.0003,0.0017920830805754425,0.09249378740787506,0.5613240559895833,3420,0.105190694
15.57,-15.57,8454144,67,124642,1,0.004627385176718235,0.03313221582502592,0.9985793412197381,0.2,3.98873366980503,-654.9621786034107,0.0003,0.0015199649918789268,0.0918307974934578,0.5747273763020834,3430,0.11072329
15.56,-15.56,8478720,68,124493,1,0.025808149948716164,0.03478740150070128,0.9987276520114392,0.2,3.987815536620716,-656.4391022729874,0.0003,0.0014655053435603804,0.09197527170181274,0.5686726888020833,3440,0.117951
15.56,-15.56,8503296,68,124540,1,0.011861893348395824,0.035919320184378496,0.9987043582368642,0.2,3.9845298452302815,-652.3381478083134,0.0003,0.001466849730195463,0.0913291722536087,0.5783732096354167,3450,0.15235372
15.56,-15.56,8527872,67,126504,1,0.02589455619454384,0.031596802373557394,0.9991328851901926,0.2,4.008338338136673,-652.3355024325848,0.0003,0.0009854461513858345,0.0913335382938385,0.5542521158854167,3460,0.09817057
15.59,-15.59,8552448,67,126036,1,0.013325713574886322,0.04123190596898591,0.9989003435475752,0.2,4.014516017213464,-651.3979678094387,0.0003,0.001237685432424011,0.09119614958763123,0.5855183919270833,3470,0.14293958
15.6,-15.6,8577024,68,125909,1,-0.0059545389376580715,0.036891259121208955,0.9988575567258522,0.2,4.041975455606977,-652.2136773049831,0.0003,0.0012403702484258853,0.09034539759159088,0.5767618815104166,3480,0.12360688
15.6,-15.6,8601600,67,127493,1,0.022738300263881683,0.039058005711558506,0.9988300211261958,0.2,4.053023369982839,-655.8196399855614,0.0003,0.0013523697545527588,0.09051227569580078,0.5704305013020833,3490,0.117332995
15.61,-15.61,8626176,68,125960,1,0.03465310484170914,0.04017754238545119,0.9988370388746262,0.2,4.0530845884233715,-651.2207314002513,0.0003,0.001332899893964168,0.09068384021520615,0.5863972981770833,3500,0.16022377
15.61,-15.61,8650752,67,127888,1,0.07820188254117966,0.041922333428616794,0.9987374177435413,0.2,4.046182793875535,-657.675304684639,0.0003,0.0014066262138233772,0.09072330594062805,0.5834269205729167,3510,0.12070123
15.65,-15.65,8675328,68,126786,1,0.005810519680380821,0.04118249390897593,0.9983811406418681,0.2,4.03008925964435,-659.584336411953,0.0003,0.0018803063398460532,0.09107230603694916,0.5907430013020833,3520,0.12728141
15.61,-15.61,8699904,67,128836,1,-0.016178304329514503,0.03950742880248678,0.9986239003483206,0.2,4.024120499938727,-662.3661713087558,0.0003,0.0015755703071969644,0.09121115505695343,0.5829060872395834,3530,0.12668706
15.58,-15.58,8724480,67,128685,1,0.0737445056438446,0.03768297588151957,0.9987761888187379,0.2,4.035200600201885,-663.4503948020935,0.0003,0.0013682224875841106,0.09100945293903351,0.5735595703125,3540,0.13325031
15.6,-15.6,8749056,71,122947,1,0.02532406523823738,0.03745584720588037,0.9989290890516713,0.2,4.042350650330385,-663.4038328206539,0.0003,0.0012391617108884626,0.09085675328969955,0.5723876953125,3550,0.11382914
15.6,-15.6,8773632,70,125269,1,0.06203783303499222,0.038250029408663976,0.9991343898582272,0.2,4.063979939122995,-660.3479847002029,0.0003,0.0009711354091943273,0.09027153253555298,0.5794270833333334,3560,0.1327588
15.61,-15.61,8798208,67,130121,1,-0.005439614411443472,0.0435379069497382,0.9987678403267637,0.2,4.06599437519908,-661.6484709864854,0.0003,0.0014587518217391942,0.09032557904720306,0.59154052734375,3570,0.1390027
15.59,-15.59,8822784,68,128810,1,0.03236802667379379,0.04142375328422834,0.9989875851897523,0.2,4.077560826266805,-668.2992428648472,0.0003,0.0011740541147977031,0.09028632938861847,0.5814860026041667,3580,0.1292534
15.57,-15.57,8847360,70,125300,1,0.06391464918851852,0.03705538185252711,0.9990180048625916,0.2,4.08063852476577,-664.8884911739826,0.0003,0.0011546851860278669,0.09009827673435211,0.5834391276041667,3590,0.11558035
15.58,-15.58,8871936,70,125394,1,0.07744603604078293,0.033102498064787746,0.9983273124089465,0.2,4.070348507538438,-665.4352132737637,0.0003,0.001939653214859997,0.09016615152359009,0.5827718098958333,3600,0.113674246
15.56,-15.56,8896512,71,125033,1,0.04360770434141159,0.030985502696178932,0.9984682343201712,0.2,4.074945163602631,-670.8396247398854,0.0003,0.0017291811919600756,0.09023100882768631,0.5970052083333334,3610,0.18208058
